Date,Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),Standing Deposit Facility (SDF) Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
08-11-2024,1.4538,1.588,1.921,3.35,6.75,6.75,9.1,6.4437,6.628,6.5991,6.77,4.5,18,6.5,6.25,675653.218
01-11-2024,1.3965,1.6401,1.9959,3.35,6.75,6.75,9.1,6.5116,6.6404,6.5991,6.81,4.5,18,6.5,6.25,682129.956
25-10-2024,1.4943,1.6911,2.012,3.35,6.75,6.75,9.1,6.4797,6.597,6.5991,6.81,4.5,18,6.5,6.25,684804.73
18-10-2024,1.471,1.6988,1.9859,3.35,6.75,6.75,9.1,6.4515,6.5493,6.5438,6.78,4.5,18,6.5,6.25,688267.415
11-10-2024,1.7108,1.7763,2.0549,3.35,6.75,6.75,9.1,6.43,6.5424,6.5283,6.75,4.5,18,6.5,6.25,690430.223
04-10-2024,1.5863,1.7522,2.1529,3.35,6.75,6.75,9.1,6.4739,6.563,6.5487,6.8,4.5,18,6.5,6.25,701175.919
27-09-2024,1.6538,1.7392,2.1125,3.35,6.75,6.75,9.1,-,-,-,6.78,4.5,18,6.5,6.25,704884.8
20-09-2024,1.6631,1.7809,2.0297,3.35,6.75,6.75,9.1,-,-,-,6.8,4.5,18,6.5,6.25,692296.35
13-09-2024,1.4147,1.5816,1.8431,3.35,6.75,6.75,9.1,6.6462,6.7222,6.7037,6.84,4.5,18,6.5,6.25,689458.056
06-09-2024,1.2792,1.4489,1.7298,3.35,6.75,6.75,9.1,6.6301,6.7261,6.7153,6.91,4.5,18,6.5,6.25,689234.82
